cashier_name,transaction_id,date,total_transaction
employee_3,1,2023-01-14,25.72
employee_1,2,2023-01-30,176.57
employee_3,3,2023-01-06,114.8
employee_3,4,2023-01-01,41.32
employee_1,5,2023-01-15,88.14
employee_1,6,2023-01-06,157.74
employee_3,7,2023-01-11,101.27
employee_2,8,2023-01-23,197.2
employee_3,9,2023-01-22,81.58
employee_3,10,2023-01-10,152.42
employee_3,11,2023-01-17,84.67
employee_3,12,2023-01-16,167.54
employee_1,13,2023-01-20,118.13
employee_3,14,2023-01-08,22.07
employee_2,15,2023-01-18,17.0
employee_1,16,2023-01-30,35.43
employee_2,17,2023-01-15,12.6
employee_2,18,2023-01-28,24.32
employee_2,19,2023-01-14,141.43
employee_2,20,2023-01-11,111.53
employee_1,21,2023-01-20,152.48
employee_1,22,2023-01-21,183.5
employee_2,23,2023-01-26,121.18
employee_2,24,2023-01-07,147.96
employee_1,25,2023-01-15,153.85
employee_1,26,2023-01-18,81.79
employee_1,27,2023-01-24,55.81
employee_3,28,2023-01-02,48.96
employee_3,29,2023-01-30,57.77
employee_3,30,2023-01-15,62.2
employee_2,31,2023-01-09,49.37
employee_3,32,2023-01-27,176.86
employee_2,33,2023-01-23,153.83
employee_2,34,2023-01-29,18.91
employee_3,35,2023-01-10,61.05
employee_2,36,2023-01-17,14.22
employee_3,37,2023-01-18,104.65
employee_3,38,2023-01-30,100.48
employee_1,39,2023-01-03,167.96
employee_3,40,2023-01-10,68.48
employee_1,41,2023-01-06,165.11
employee_3,42,2023-01-09,193.92
employee_3,43,2023-01-15,26.8
employee_1,44,2023-01-12,160.45
employee_1,45,2023-01-12,122.09
employee_3,46,2023-01-26,101.21
employee_2,47,2023-01-28,89.9
employee_1,48,2023-01-03,159.09
employee_2,49,2023-01-07,131.48
employee_2,50,2023-01-21,162.96
employee_2,51,2023-01-11,181.6
employee_1,52,2023-01-08,127.28
employee_2,53,2023-01-09,196.29
employee_1,54,2023-01-10,125.54
employee_2,55,2023-01-26,130.96
employee_3,56,2023-01-05,115.41
employee_3,57,2023-01-22,27.29
employee_1,58,2023-01-17,148.02
employee_3,59,2023-01-09,114.01
employee_3,60,2023-01-13,95.67
employee_2,61,2023-01-08,182.99
employee_1,62,2023-01-19,66.61
employee_2,63,2023-01-03,109.48
employee_2,64,2023-01-01,142.55
employee_2,65,2023-01-19,161.33
employee_2,66,2023-01-06,97.28
employee_2,67,2023-01-03,170.0
employee_2,68,2023-01-12,156.09
employee_2,69,2023-01-02,22.58
employee_1,70,2023-01-27,18.71
employee_3,71,2023-01-01,127.95
employee_2,72,2023-01-18,76.01
employee_2,73,2023-01-14,49.73
employee_2,74,2023-01-21,120.13
employee_2,75,2023-01-10,74.9
employee_2,76,2023-01-05,112.08
employee_2,77,2023-01-30,97.42
employee_3,78,2023-01-26,121.11
employee_3,79,2023-01-26,86.06
employee_2,80,2023-01-08,142.56
employee_3,81,2023-01-02,44.21
employee_1,82,2023-01-10,142.34
employee_2,83,2023-01-17,88.22
employee_1,84,2023-01-10,176.12
employee_1,85,2023-01-25,107.89
employee_2,86,2023-01-09,194.89
employee_3,87,2023-01-29,124.37
employee_1,88,2023-01-14,52.53
employee_2,89,2023-01-26,166.14
employee_1,90,2023-01-06,75.57
employee_1,91,2023-01-13,76.05
employee_1,92,2023-01-21,16.04
employee_1,93,2023-01-05,114.26
employee_3,94,2023-01-04,111.54
employee_1,95,2023-01-30,77.64
employee_1,96,2023-01-22,179.9
employee_1,97,2023-01-02,34.46
employee_3,98,2023-01-12,72.72
employee_1,99,2023-01-14,71.1
employee_1,100,2023-01-23,27.54
employee_3,101,2023-01-08,101.42
employee_3,102,2023-01-06,140.68
employee_3,103,2023-01-03,107.21
employee_1,104,2023-01-13,39.83
employee_3,105,2023-01-21,81.68
employee_3,106,2023-01-02,10.49
employee_1,107,2023-01-28,174.98
employee_3,108,2023-01-14,26.06
employee_1,109,2023-01-08,123.48
employee_2,110,2023-01-03,197.39
employee_3,111,2023-01-06,111.95
employee_2,112,2023-01-29,185.57
employee_1,113,2023-01-20,54.86
employee_3,114,2023-01-16,154.39
employee_1,115,2023-01-20,110.94
employee_2,116,2023-01-14,146.9
employee_1,117,2023-01-22,21.84
employee_3,118,2023-01-02,38.07
employee_3,119,2023-01-17,35.29
